stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
7727,7727,"Pershing & Federal","Pershing & Federal, Eastbound, Southeast Corner",41.82362342,-87.62841483,0,,1
7729,7729,"Pershing & Wabash","Pershing & Wabash, Eastbound, Southwest Corner",41.82367095,-87.62499002,0,,1
7730,7730,"Pershing & Michigan","Pershing & Michigan, Eastbound, Southwest Corner",41.82367575,-87.62337119,0,,1
7731,7731,"Pershing & Indiana","Pershing & Indiana, Eastbound, Southeast Corner",41.82371348,-87.6213625,0,,1
7732,7732,"Pershing & Giles","Pershing & Giles, Eastbound, Southside of the Street",41.82376248,-87.61926131,0,,1
7733,7733,"Pershing & King Drive","Pershing & King Drive, Eastbound, Southwest Corner",41.82376248,-87.61735597,0,,1
7734,7734,"Pershing & King Drive","Pershing & King Drive, Eastbound, Southeast Corner",41.82377622,-87.61654258,0,,1
7736,7736,"Pershing & Vincennes","Pershing & Vincennes, Eastbound, Southwest Corner",41.82381187,-87.61279343,0,,1
7737,7737,"Pershing & Langley","Pershing & Langley, Eastbound, Southwest Corner",41.8238539,-87.61004235,0,,1
7738,7738,"Pershing & Cottage Grove","Pershing & Cottage Grove, Eastbound, Southwest Corner",41.82382303,-87.60707651,0,,1
7741,7741,"40th Street & Ellis","40th Street & Ellis, Eastbound, Southeast Corner",41.82194482,-87.60367269,0,,1
7743,7743,"Lake Park & 40th Street","Lake Park & 40th Street, Northbound, Northeast Corner",41.8226224,-87.60232045,0,,1
7744,7744,"Lake Park & Oakwood","Lake Park & Oakwood, Northbound, Southeast Corner",41.82421787,-87.60334858,0,,1
7746,7746,"Pershing & Cottage Grove","Pershing & Cottage Grove, Westbound, Northeast Corner",41.82405805,-87.60678142,0,,1
7747,7747,"Pershing & Langley","Pershing & Langley, Westbound, Northeast Corner",41.82399859,-87.60975216,0,,1
7750,7750,"Pershing & King Drive","Pershing & King Drive, Westbound, Northeast Corner",41.82392104,-87.61664244,0,,1
7751,7751,"Pershing & King Drive","Pershing & King Drive, Westbound, Northwest Corner",41.8239038,-87.61747156,0,,1
7752,7752,"Pershing & Giles","Pershing & Giles, Westbound, Northeast Corner",41.82388187,-87.61907465,0,,1
7753,7753,"Pershing & Indiana","Pershing & Indiana, Westbound, Northwest Corner",41.82384855,-87.6218652,0,,1
7754,7754,"Pershing & Michigan","Pershing & Michigan, Westbound, Northeast Corner",41.82383524,-87.6229744,0,,1
7755,7755,"Pershing & Wabash","Pershing & Wabash, Westbound, Northeast Corner",41.823817,-87.62469701,0,,1
7757,7757,"Pershing & Federal","Pershing & Federal, Westbound, Northeast Corner",41.82377022,-87.62888009,0,,1
7759,7759,"Pershing & Wentworth","Pershing & Wentworth, Westbound, Northwest Corner",41.82375395,-87.63160499,0,,1
7760,7760,"Pershing & Princeton","Pershing & Princeton, Westbound, Northwest Corner",41.82369099,-87.63399908,0,,1
7761,7761,"Pershing & Canal","Pershing & Canal, Westbound, Northside of the Street",41.82364369,-87.63742009,0,,1
7762,7762,"Pershing & Normal","Pershing & Normal, Westbound, Northside of the Street",41.82363749,-87.63852037,0,,1
7763,7763,"Pershing & Wallace","Pershing & Wallace, Westbound, Northeast Corner",41.82359942,-87.64090834,0,,1
7767,7767,"Pershing & Morgan","Pershing & Morgan, Westbound, Northeast Corner",41.8234674,-87.65060663,0,,1
7768,7768,"1111 W Pershing","1111 W Pershing, Westbound, Northside of the Street",41.82347139,-87.65350464,0,,1
7769,7769,"Pershing & Loomis","Pershing & Loomis, Westbound, Northwest Corner",41.82331715,-87.660254,0,,1
7770,7770,"1501 W Pershing","1501 W Pershing, Westbound, Northside of the Street",41.82326476,-87.66313388,0,,1
7771,7771,"Pershing & Ashland","Pershing & Ashland, Westbound, Northeast Corner",41.823272,-87.66521411,0,,1
7772,7772,"Pershing & Paulina","Pershing & Paulina, Westbound, Northeast Corner",41.82323703,-87.66753786,0,,1
7773,7773,"Pershing & Wolcott","Pershing & Wolcott, Westbound, Northeast Corner",41.82324551,-87.67242915,0,,1
7776,7776,"Pershing & Leavitt","Pershing & Leavitt, Westbound, Northside of the Street",41.82313947,-87.68004652,0,,1
7778,7778,"Pershing & Western Boulevard","Pershing & Western Boulevard, Westbound, Northeast Corner",41.82309255,-87.68407377,0,,1
7779,7779,"Western Blvd & Archer","Western Blvd & Archer, Northbound, Southeast Corner",41.8261503,-87.68427326,0,,1
7780,7780,"38th Street & Homan","38th Street & Homan, Westbound, Northwest Corner",41.82439018,-87.7095497,0,,1
7783,7783,"St. Louis & Pershing","St. Louis & Pershing, Southbound, Northwest Corner",41.82254984,-87.71183477,0,,1
7784,7784,"Pershing & Homan","Pershing & Homan, Eastbound, Southside of the Street",41.82247909,-87.70923463,0,,1
7785,7785,"Pershing & Spaulding","Pershing & Spaulding, Eastbound, Southside of the Street",41.82251172,-87.70688858,0,,1
7786,7786,"36th Street & Albany","36th Street & Albany, Eastbound, Southwest Corner",41.82806584,-87.70221677,0,,1
7787,7787,"36th Street & Sacramento","36th Street & Sacramento, Eastbound, Southwest Corner",41.82811484,-87.69976476,0,,1
7788,7788,"36th Street & Francisco","36th Street & Francisco, Eastbound, Southwest Corner",41.82816284,-87.69731376,0,,1
7789,7789,"36th Street & California","36th Street & California, Eastbound, Southwest Corner",41.82821084,-87.69486276,0,,1
7790,7790,"Pershing & Washtenaw","Pershing & Washtenaw, Westbound, Northeast Corner",41.82288559,-87.69204133,0,,1
7791,7791,"Pershing & California","Pershing & California, Westbound, Northeast Corner",41.82286566,-87.69445773,0,,1
7792,7792,"Pershing & Francisco","Pershing & Francisco, Westbound, Northeast Corner",41.82279975,-87.6969735,0,,1
7793,7793,"Pershing & Sacramento","Pershing & Sacramento, Westbound, Northeast Corner",41.82275247,-87.69943706,0,,1
7794,7794,"Pershing & Albany","Pershing & Albany, Westbound, Northeast Corner",41.82270308,-87.70184284,0,,1
7795,7795,"Pershing & Kedzie","Pershing & Kedzie, Westbound, Northeast Corner",41.82265425,-87.70423757,0,,1
7796,7796,"Pershing & Spaulding","Pershing & Spaulding, Westbound, Northeast Corner",41.82260526,-87.70676644,0,,1
7797,7797,"Pershing & Homan","Pershing & Homan, Westbound, Northeast Corner",41.82258378,-87.70922784,0,,1
7798,7798,"Pershing & Kedzie","Pershing & Kedzie, Eastbound, Southwest Corner",41.82252943,-87.70464479,0,,1
7799,7799,"Pershing & Albany","Pershing & Albany, Eastbound, Southwest Corner",41.82257827,-87.70219332,0,,1
7800,7800,"Pershing & Sacramento","Pershing & Sacramento, Eastbound, Southwest Corner",41.82264245,-87.69970256,0,,1
7801,7801,"Pershing & Francisco","Pershing & Francisco, Eastbound, Southwest Corner",41.82268761,-87.6972149,0,,1
7802,7802,"Pershing & California","Pershing & California, Eastbound, Southwest Corner",41.82271735,-87.69478536,0,,1
7804,7804,"Archer & Pershing/Rockwell","Archer & Pershing/Rockwell, Northeastbound, Southeast Corner",41.82308518,-87.68944463,0,,1
7808,7808,"36th Street & Kedzie Terminal","36th Street & Kedzie Terminal, Southbound, Bus Terminal",41.82844391,-87.70501726,0,,1
7809,7809,"36th Street & Kedzie","36th Street & Kedzie, Eastbound, Southeast Corner",41.82803326,-87.70431579,0,,1
7811,7811,"Harlem & 59th Street","Harlem & 59th Street, Northbound, Northeast Corner",41.78476105,-87.80106491,0,,1
7812,7812,"Harlem & 58th Street","Harlem & 58th Street, Northbound, Southeast Corner",41.78643883,-87.80118379,0,,1
7813,7813,"Harlem & 57th Street","Harlem & 57th Street, Northbound, Southeast Corner",41.78825983,-87.80123679,0,,1
7855,7855,"3501 N Kimball","3501 N Kimball, Southbound, Westside of the Street",41.94469848,-87.71276077,0,,1
7857,7857,"Kimball & Avondale/Henderson","Kimball & Avondale/Henderson, Southbound, Northwest Corner",41.94240263,-87.71265678,0,,1
7858,7858,"Belmont & Kimball (Blue Line)","Belmont & Kimball (Blue Line), Eastbound, Southeast Corner",41.93921726,-87.71218857,0,,1
7859,7859,"Belmont & Spaulding","Belmont & Spaulding, Eastbound, Southwest Corner",41.9392513,-87.71005936,0,,1
7860,7860,"Belmont & Kedzie","Belmont & Kedzie, Eastbound, Southwest Corner",41.93927286,-87.70778478,0,,1
7861,7861,"Belmont & Albany","Belmont & Albany, Eastbound, Southwest Corner",41.93929186,-87.70530078,0,,1
7863,7863,"Belmont & Francisco","Belmont & Francisco, Eastbound, Southwest Corner",41.93930184,-87.70042064,0,,1
7865,7865,"Belmont & California","Belmont & California, Eastbound, Southeast Corner",41.93933686,-87.69758278,0,,1
7866,7866,"Belmont & Washtenaw","Belmont & Washtenaw, Eastbound, Southwest Corner",41.9393938,-87.69542819,0,,1
7868,7868,"Belmont & Campbell","Belmont & Campbell, Eastbound, Southside of the Street",41.93942181,-87.69073919,0,,1
7937,7937,"Belmont & Western/Clybourn","Belmont & Western/Clybourn, Westbound, Northwest Corner",41.93955533,-87.68849068,0,,1
7938,7938,"Belmont & Campbell","Belmont & Campbell, Westbound, Northeast Corner",41.93953376,-87.69045055,0,,1
7940,7940,"Belmont & Washtenaw","Belmont & Washtenaw, Westbound, Northeast Corner",41.93950018,-87.69506918,0,,1
7941,7941,"Belmont & California","Belmont & California, Westbound, Northeast Corner",41.93950018,-87.69767219,0,,1
7942,7942,"Belmont & Francisco","Belmont & Francisco, Westbound, Northeast Corner",41.93945892,-87.700099,0,,1
7945,7945,"Belmont & Kedzie","Belmont & Kedzie, Westbound, Northwest Corner",41.93940266,-87.70755021,0,,1
7947,7947,"Belmont & Kimball (Blue Line)","Belmont & Kimball (Blue Line), Westbound, Bus Terminal",41.93904851,-87.71220153,0,,1
7948,7948,"Kimball & Avondale/Henderson","Kimball & Avondale/Henderson, Northbound, Southeast Corner",41.9422274,-87.71246107,0,,1
7950,7950,"3501 N Kimball","3501 N Kimball, Northbound, Eastside of the Street",41.94471446,-87.71258481,0,,1
7951,7951,"Kimball & Addison","Kimball & Addison, Northbound, Southeast Corner",41.94647003,-87.71262498,0,,1
7989,7989,"Oakenwald & 43rd Street","Oakenwald & 43rd Street, Northbound, Northeast Corner",41.81698385,-87.59748273,0,,1
7991,7991,"42nd Place & Lake Park","42nd Place & Lake Park, Westbound, Northeast Corner",41.81807689,-87.59952563,0,,1
7996,7996,"43rd Street & Drexel","43rd Street & Drexel, Westbound, Northwest Corner",41.81690682,-87.60459223,0,,1
7997,7997,"43rd Street & Cottage Grove","43rd Street & Cottage Grove, Westbound, Northeast Corner",41.81688957,-87.60658045,0,,1
7998,7998,"43rd Street & Langley","43rd Street & Langley, Westbound, Northeast Corner",41.81684795,-87.60906158,0,,1
8000,8000,"43rd Street & St. Lawrence","43rd Street & St. Lawrence, Westbound, Northeast Corner",41.81679737,-87.6115442,0,,1
8001,8001,"43rd Street & Vincennes","43rd Street & Vincennes, Westbound, Northeast Corner",41.8167507,-87.61399012,0,,1
8002,8002,"43rd Street & King Drive","43rd Street & King Drive, Westbound, Northeast Corner",41.8167137,-87.61638577,0,,1
8003,8003,"43rd Street & King Drive","43rd Street & King Drive, Westbound, Northwest Corner",41.81670168,-87.61717507,0,,1
8004,8004,"43rd Green Line Station","43rd Green Line Station, Westbound, Northside of the Street",41.81667312,-87.61898439,0,,1
8010,8010,"43rd Street & LaSalle","43rd Street & LaSalle, Westbound, Northwest Corner",41.81652289,-87.62956488,0,,1
8011,8011,"43rd Street & Wentworth","43rd Street & Wentworth, Westbound, Northwest Corner",41.81649559,-87.63139017,0,,1
8012,8012,"43rd Street & Princeton","43rd Street & Princeton, Westbound, Northeast Corner",41.81644832,-87.63345316,0,,1
8013,8013,"Princeton & 42nd Place","Princeton & 42nd Place, Northbound, Eastside of the Street",41.81722657,-87.63348313,0,,1
8014,8014,"Root & Princeton","Root & Princeton, Westbound, Northside of the Street",41.81914482,-87.63370045,0,,1
8016,8016,"Root & Normal","Root & Normal, Westbound, Northeast Corner",41.81907265,-87.63833133,0,,1
8017,8017,"Root & Wallace","Root & Wallace, Westbound, Northeast Corner",41.8190582,-87.64079219,0,,1
8040,8040,"Root & Wallace","Root & Wallace, Eastbound, Southwest Corner",41.81891984,-87.64102775,0,,1
8041,8041,"Root & Normal","Root & Normal, Eastbound, Southwest Corner",41.81895284,-87.63856875,0,,1
8043,8043,"Root & Princeton","Root & Princeton, Eastbound, Southwest Corner",41.81900384,-87.63365075,0,,1
